"English","January","February","March","April","May","June","July","August","September","October","November","December"
"Abkhaz","ианвар","жәабран","хәажәкыра","мшаҧы","лаҵара","ииун","ииул","нанҳәа","цәыббра","жьҭаара","ноиабр","ҧхынҷкәын"
"Afrikaans","Januarie","Februarie","Maart","April","Mei","Junie","Julie","Augustus","September","Oktober","November","Desember"
"Albanian","janar","shkurt","mars","prill","maj","qershor","korrik","gusht","shtator","tetor","nëntor","dhjetor"
"Alsatian","Janner","Horni","März","April","Mäi","Jüni","Jüli","Äugscht","Septamber","Oktower","Novamber","Dezamber"
"Arabic Egypt Sudan Yemen","يناير","فبراير","مارس","أبريل","مايو","يونيو","يوليه","أغسطس","سبتمبر","أكتوبر","نوفمبر","ديسمبر"
"Arabic Levant","كانون الثاني","شباط","آذار","نيسان","أيار","حزيران","تموز","آب","أيلول","تشرين الأول","تشرين الثاني","كانون الأول"
"Arabic Lybia","أين النار","النوار","الربيع","الطير","الماء","الصيف","ناصر","هانيبال","الفاتح","التمور، الثمور","الحرث","الكانون"
"Arabic Algeria & Tunisia","جانفي","فيفري","مارس","أفريل","ماي","جوان","جويلية","أوت","سبتمبر","أكتوبر","نوفمبر","ديسمبر"
"Arabic Morocco","يناير","فبراير","مارس","أبريل","ماي","يونيو","يوليوز","غشت","شتنبر","أكتوبر، أوكتوبر","نونبر","دجنبر"
"Aranese","gèr","hereuèr","març","abriu","mai","junh","junhsèga","agost","seteme","octobre","noveme","deseme"
"Asturian","xineru","febreru","marzu","abril","mayu","xunu","xunetu","agostu","setiembre","ochobre","payares","avietnu"
"Azerbaijani","Yanvar","Fevral","Mart","Aprel","May","İyun","İyul","Avqust","Sentyabr","Oktyabr","Noyabr","Dekabr"
"Basque","urtarril","otsail","martxo","apiril","maiatz","ekain","uztail","abuztu","irail","urri","azaro","abendu"
"Belarussian","студзень","люты","сакавік","красавік","май","чэрвень","ліпень","жнівень","верасень","кастрычнік","лістапад","снежань"
"Breton","miz Genver","miz C'hwevrer","miz Meurzh","miz Ebrel","miz Mae","miz Mezheven","miz Gouere","miz Eost","miz Gwengolo","miz Here","miz Du","miz Kerzu"
"Bulgarian","януари","февруари","март","април","май","юни","юли","август","септември","октомври","ноември","декември"
"Bulgarian","januari","fevruari","mart","april","maj","juni","juli","avgust","septemvri","oktomvri","noemvri","dekemvri"
"Catalan","gener","febrer","març","abril","maig","juny","juliol","agost","setembre","octubre","novembre","desembre"
"Central Dusun","Tulan Koiso ‘Month One’ Tulan Milatok ‘Green-month’","Tulan Koduo ‘Month Two’ Tulan Mansak ‘Ripe-month’","Tulan Kotolu ‘Month Three’ Tulan Gomot ‘Harvest-month’","Tulan Kaapat ‘Month Four’ Tulan Ngiop ‘Winding-month’","Tulan Kolimo ‘Month Five’ Tulan Mikat ‘Fest-month’","Tulan Koonom ‘Month Six’ Tulan Mahas ‘Look-month’","Tulan Koturu ‘Month Seven’ Tulan Madas ‘Clear-month’","Tulan Kawalu ‘Month Eight’ Tulan Magus ‘Seed-month’","Tulan Kosiam ‘Month Nine’ Tulan Manom ‘Plant-month’","Tulan Kohopod ‘Month Ten’ Tulan Gumas ‘Pluck-month’","Tulan Kohopod om Iso ‘Month Eleven’ Tulan Milau ‘Grow-month’","Tulan Kohopod om Duo ‘Month Twelve’ Tulan Momuhau ‘Scarecrow-month’"
"Chinese","一月","二月","三月","四月","五月","六月","七月","八月","九月","十月","十一月","十二月"
